Yr/Seas,Host,Nationalities,Leader (s),Route(s),Result,Smtrs,Dead,Exped ID,Year,expedition_code,member_count,total_members,death_mbrs,hired_deaths,hired_count,hired_DR,mbr_DR
1921 Spr,China,"UK, Canada",C. K. Howard-Bury,"W, N & E sides",Did not Climb,,2,EVER-211-01,1921,EVER211011921,13,9,1,1,4,0.25,0.111111111
1922 Spr,China,"UK, Australia",Charles G. Bruce,N Col-N Face,"Illness, AMS",,7,EVER-221-01,1922,EVER221011922,22,13,0,7,9,0.777777778,0
1924 Spr,China,UK,Edward F. Norton,N Col-N Face (Norton to 8570m) / N Col-NE Ridge (Mallory to 8450m+),Accident,,4,EVER-241-01,1924,EVER241011924,13,11,2,2,2,1,0.181818182
1933 Spr,China,UK,Hugh Ruttledge,N Col-N Face,Route Difficulty,,,EVER-331-01,1933,EVER331011933,43,16,0,0,27,0,0
1934 Spr,China,UK,Maurice Wilson,N Col,Accident,,1,EVER-341-01,1934,EVER341011934,4,1,1,0,3,0,1
1935 Sum,China,"UK, New Zealand",Eric Shipton,N Col (recon to 7000m) / W side (recon),Bad Conditions,,,EVER-352-01,1935,EVER352011935,18,7,0,0,11,0,0
1936 Spr,China,UK,Hugh Ruttledge,N Col,Bad Weather,,,EVER-361-01,1936,EVER361011936,33,12,0,0,21,0,0
1938 Spr,China,UK,H. W. Tilman,E Rongbuk Glacier-N Col / Main Rongbuk Glacier-N Col-N Face,Bad Conditions,,,EVER-381-01,1938,EVER381011938,23,7,0,0,16,0,0
1947 Spr,China,Canada,Earl Denman,N Col,Bad Weather,,,EVER-471-01,1947,EVER471011947,3,1,0,0,2,0,0
1950 Aut,Nepal,"USA, UK",Charles Houston,Khumbu Glacier (recon),Did not Climb,,,EVER-503-01,1950,EVER503011950,5,5,0,0,0,#DIV/0!,0
1951 Spr,China,Denmark,Klavs Becker-Larsen,N Col,Lack of Supplies,,,EVER-511-01,1951,EVER511011951,5,1,0,0,4,0,0
1951 Aut,Nepal,"UK, New Zealand",Eric Shipton,Khumbu Glacier-Khumbu Icefall (recon),Route Difficulty,,,EVER-513-01,1951,EVER513011951,9,6,0,0,3,0,0
1952 Spr,Nepal,Switzerland,Edouard Wyss-Dunant,S Col-SE Ridge,"Illness, AMS",,,EVER-521-01,1952,EVER521011952,19,11,0,0,8,0,0
1952 Aut,Nepal,Switzerland,Gabriel Chevalley,S Col-SE Ridge,Bad Weather,,1,EVER-523-01,1952,EVER523011952,21,7,0,1,14,0.071428571,0
1952 Aut,China,USSR,Pavel Datschnolian,N Col-NE Ridge,Attempt Rumored,,,EVER-523-02,1952,EVER523021952,6,40,0,0,-34,0,0
1953 Spr,Nepal,"UK, New Zealand",John Hunt,S Col-SE Ridge,Success,2,,EVER-531-01,1953,EVER531011953,23,13,0,0,10,0,0
1956 Spr,Nepal,Switzerland,Albert Eggler,S Col-SE Ridge,Success,4,,EVER-561-01,1956,EVER561011956,17,11,0,0,6,0,0
1958 Aut,China,"China, USSR","Xu Jing, Yevgeniy Beletski",N side (recon),Did not Climb,,,EVER-583-01,1958,EVER583011958,4,13,0,0,-9,0,0
1960 Spr,Nepal,"India, Nepal",Gyan Singh,S Col,Bad Weather,,,EVER-601-01,1960,EVER601011960,22,22,0,0,0,#DIV/0!,0
1960 Spr,China,China,Shi Zhang-Chun,N Col-NE Ridge,Success,3,1,EVER-601-02,1960,EVER601021960,23,29,1,0,-6,0,0.034482759
1962 Spr,Nepal,India,John Dias,S Col-SE Ridge,Bad Weather,,1,EVER-621-01,1962,EVER621011962,22,14,0,1,8,0.125,0
1962 Spr,Nepal,"USA, Switzerland",Woodrow Wilson Sayre,N Col-N Face,"Illness, AMS",,,EVER-621-02,1962,EVER621021962,4,4,0,0,0,#DIV/0!,0
1963 Spr,Nepal,"USA, UK",Norman Dyhrenfurth,S Col-SE Ridge / W Cwm-W Ridge-N Face (up); SE Ridge-S Col (down),Success,6,1,EVER-631-01,1963,EVER631011963,27,20,1,0,7,0,0.05
1964 Spr,China,China,Xu Jing,N Col-NE Ridge (training),Other,,1,EVER-641-01,1964,EVER641011964,2,20,1,0,-18,0,0.05
1965 Spr,Nepal,India,M. S. Kohli,S Col-SE Ridge,Success,9,,EVER-651-01,1965,EVER651011965,27,20,0,0,7,0,0
1965 Spr,China,China,,"N side (attempt reported, not confirmed)",Attempt Rumored,,,EVER-651-02,1965,EVER651021965,,0,0,0,0,#DIV/0!,#DIV/0!
1966 Spr,China,China,Xu Jing,"N Col (training, recon)",Accident,,1,EVER-661-01,1966,EVER661011966,3,20,1,0,-17,0,0.05
1967 Spr,China,China,,N Col (research),Did not Climb,,,EVER-671-01,1967,EVER671011967,1,0,0,0,1,0,#DIV/0!
1967 Aut,China,China,,N Col (research),Did not Climb,,,EVER-673-01,1967,EVER673011967,1,0,0,0,1,0,#DIV/0!
1968 Spr,China,China,,"N side (attempt reported, not confirmed)",Attempt Rumored,,,EVER-681-01,1968,EVER681011968,,0,0,0,0,#DIV/0!,#DIV/0!
1969 Spr,Nepal,Japan,Yoshihiro Fujita,SW Face (recon),Bad Weather,,,EVER-691-01,1969,EVER691011969,4,4,0,0,0,#DIV/0!,0
1969 Spr,China,China,,"N side (success reported, not confirmed)",Success (Claimed),,,EVER-691-02,1969,EVER691021969,3,3,0,0,0,#DIV/0!,0
1969 Aut,Nepal,Japan,Hideki Miyashita,SW Face (recon),Did not Climb,,,EVER-693-01,1969,EVER693011969,12,12,0,0,0,#DIV/0!,0
1969 Aut,Nepal,Japan,Yuichiro Miura,S Col (recon),Other,,1,EVER-693-02,1969,EVER693021969,17,16,0,1,1,1,0
1970 Spr,Nepal,Japan,Yuichiro Muira,S Col (skiing),Other,,6,EVER-701-01,1970,EVER701011970,42,34,0,6,8,0.75,0
1970 Spr,Nepal,Japan,Hiromi Ohtsuka,S Col-SE Ridge / SW Face (to 8050m),Success,4,2,EVER-701-02,1970,EVER701021970,41,39,1,1,2,0.5,0.025641026
1971 Spr,Nepal,"Switzerland, Australia, Austria, France, India, Italy, Japan, Norway, Poland, UK, USA, W Germany","Norman Dyhrenfurth, J. O. M. Roberts",W Cwm-W Ridge (to 7300m) / S Col (to 6900m) / SW Face (to 8380m),Bad Weather,,1,EVER-711-01,1971,EVER711011971,33,31,1,0,2,0,0.032258065
1971 Aut,Nepal,Argentina,Hector Cativa Tolosa,S Col-SE Ridge,Bad Weather,,,EVER-713-01,1971,EVER713011971,20,20,0,0,0,#DIV/0!,0
1972 Spr,Nepal,"W Germany, Austria, Italy, Switzerland, UK",Karl M. Herrligkoffer,SW Face,Bad Weather,,,EVER-721-01,1972,EVER721011972,23,23,0,0,0,#DIV/0!,0
1972 Aut,Nepal,"UK, Australia",Chris Bonington,SW Face,Bad Weather,,1,EVER-723-01,1972,EVER723011972,16,12,1,0,4,0,0.083333333
1973 Spr,Nepal,Italy,Guido Monzino,S Col-SE Ridge,Success,8,,EVER-731-01,1973,EVER731011973,68,65,0,0,3,0,0
1973 Aut,Nepal,Japan,Michio Yuasa,S Col-SE Ridge / SW Face (to 8380m),Success,2,1,EVER-733-01,1973,EVER733011973,50,49,0,1,1,1,0
1974 Spr,Nepal,Spain,Juan Ignacio Lorente Zugaza,S Col-SE Ridge,Bad Weather,,,EVER-741-01,1974,EVER741011974,17,16,0,0,1,0,0
1974 Spr,China,China,,N Col-NE Ridge (training for 1975),Did not Climb,,,EVER-741-02,1974,EVER741021974,1,0,0,0,1,0,#DIV/0!
1974 Aut,Nepal,France,Gerard Devouassoux,Lho La-W Ridge,Accident,,6,EVER-743-01,1974,EVER743011974,17,10,1,5,7,0.714285714,0.1
1975 Spr,Nepal,Japan,Eiko Hisano,S Col-SE Ridge,Success,2,,EVER-751-01,1975,EVER751011975,23,22,0,0,1,0,0
1975 Spr,China,China,Shi Zhang-Chun,N Col-NE Ridge,Success,9,1,EVER-751-02,1975,EVER751021975,32,35,1,0,-3,0,0.028571429
1975 Aut,Nepal,"UK, W Germany",Chris Bonington,SW Face-S Smt,Success,4,2,EVER-753-01,1975,EVER753011975,25,23,1,1,2,0.5,0.043478261
1975 Aut,Nepal,W Germany,Unknown soloist,S side (attempt rumored),Attempt Rumored,,,EVER-753-02,1975,EVER753021975,1,1,0,0,0,#DIV/0!,0
1976 Spr,Nepal,"UK, Nepal",Tony Streather,S Col-SE Ridge,Success,2,1,EVER-761-01,1976,EVER761011976,35,34,1,0,1,0,0.029411765
1976 Aut,Nepal,"USA, Netherlands",Phillip R. Trimble,S Col-SE Ridge,Success,2,,EVER-763-01,1976,EVER763011976,20,19,0,0,1,0,0
1977 Spr,Nepal,"New Zealand, Canada",Keith Woodford,S Col-SE Ridge,Bad Weather,,,EVER-771-01,1977,EVER771011977,8,8,0,0,0,#DIV/0!,0
1977 Aut,Nepal,S Korea,Kim Young-Do,S Col-SE Ridge,Success,2,,EVER-773-01,1977,EVER773011977,22,19,0,0,3,0,0
1978 Spr,China,"China, Iran",Tian Bao,"N Ridge (recon, training)",Other,,1,EVER-781-01,1978,EVER781011978,4,25,1,0,-21,0,0.04
1978 Spr,Nepal,"Austria, Italy, UK, W Germany",Wolfgang Nairz,S Col-SE Ridge,Success,9,1,EVER-781-02,1978,EVER781021978,16,14,0,1,2,0.5,0
1978 Aut,Nepal,"W Germany, Poland, Switzerland",Karl M. Herrligkoffer,S Col-SE Ridge,Success,12,,EVER-783-01,1978,EVER783011978,24,21,0,0,3,0,0
1978 Aut,Nepal,"France, Austria, W Germany",Pierre Mazeaud,S Col-SE Ridge,Success,4,,EVER-783-02,1978,EVER783021978,19,18,0,0,1,0,0
1979 Spr,Nepal,Yugoslavia,Tone Skarja,Lho La-W Ridge (up); N Face (Hornbein)-W Ridge (down),Success,5,1,EVER-791-01,1979,EVER791011979,32,31,0,1,1,1,0
1979 Spr,China,"China, Iran",,N side (no attempt),Did not Climb,,,EVER-791-02,1979,EVER791021979,,0,0,0,0,#DIV/0!,#DIV/0!
1979 Aut,Nepal,"W Germany, New Zealand, Switzerland, USA",Gerhard Schmatz,S Col-SE Ridge,Success,13,2,EVER-793-01,1979,EVER793011979,14,9,2,0,5,0,0.222222222
1979 Aut,China,Japan,Atsuo Saito,N Face (recon to 6400m) / N Col (recon to 6800m),Accident,,3,EVER-793-02,1979,EVER793021979,12,9,0,3,3,1,0
1979 Aut,Nepal,"UK, France, USA",Doug Scott,S Col-SE Ridge (to 7400m) / Lho La (to 6000m),Route Difficulty,,,EVER-793-03,1979,EVER793031979,6,6,0,0,0,#DIV/0!,0
1979 Win,Nepal,Poland,Andrzej Zawada,S Col-SE Ridge,Success,2,,EVER-794-01,1979,EVER794011979,21,20,0,0,1,0,0
1980 Spr,Nepal,Spain,Juan Ignacio Lorente Zugaza,S Col-SE Ridge,Success,2,,EVER-801-01,1980,EVER801011980,15,12,0,0,3,0,0
1980 Spr,Nepal,Poland,Andrzej Zawada,S Pillar-SE Ridge,Success,2,,EVER-801-02,1980,EVER801021980,16,16,0,0,0,#DIV/0!,0
1980 Spr,China,Japan,Hyoriki Watanabe,N Col-NE Ridge / N Face (Japanese & Hornbein Couloirs),Success,3,1,EVER-801-03,1980,EVER801031980,27,27,1,0,0,#DIV/0!,0.037037037
1980 Spr,Nepal,"Spain, W Germany",Ricardo Cots Trullas,,Did not Climb,,,EVER-801-04,1980,EVER801041980,1,18,0,0,-17,0,0
1980 Spr,China,France,Jean-Claude Marmier,N Col-NE Ridge,Other,,,EVER-801-05,1980,EVER801051980,1,4,0,0,-3,0,0
1980 Sum,China,"Italy, Canada",Reinhold Messner,N Col-N Ridge-N Face,Success,1,,EVER-802-01,1980,EVER802011980,2,2,0,0,0,#DIV/0!,0
1980 Aut,Nepal,"Italy, Austria, Czechoslovakia, Nepal, Thailand, Yugoslavia",Francesco Santon,S Col-SE Ridge,Bad Weather,,2,EVER-803-01,1980,EVER803011980,55,52,1,1,3,0.333333333,0.019230769
1980 Win,Nepal,Japan,Naomi Uemura,S Col-SE Ridge,Bad Weather,,1,EVER-804-01,1980,EVER804011980,17,17,1,0,0,#DIV/0!,0.058823529
1980 Win,Nepal,UK,Alan Rouse,Lho La-W Ridge,Bad Weather,,,EVER-804-02,1980,EVER804021980,11,11,0,0,0,#DIV/0!,0
1981 Spr,China,France,"Jean-Claude Marmier, Pierre Astorg",N Col-NE Ridge,Bad Weather,,,EVER-811-01,1981,EVER811011981,11,28,0,0,-17,0,0
1981 Spr,Nepal,Japan,Shinichi Nakajima,Lho La-W Ridge,"Illness, AMS",,,EVER-811-02,1981,EVER811021981,22,20,0,0,2,0,0
1981 Aut,Nepal,"USA, Canada, India, Italy, UK",John B. West,S Pillar-SE Ridge,Success,5,,EVER-813-01,1981,EVER813011981,27,21,0,0,6,0,0
1981 Aut,Nepal,New Zealand,Russell Brice,W Cwm-W Ridge,Bad Weather,,,EVER-813-02,1981,EVER813021981,4,2,0,0,2,0,0
1981 Aut,China,"USA, Austria, New Zealand",Richard Blum,E Face,Bad Weather,,,EVER-813-03,1981,EVER813031981,19,19,0,0,0,#DIV/0!,0
1982 Spr,Nepal,USSR,Evgeny Tamm,SW Face rib-W Ridge,Success,11,,EVER-821-01,1982,EVER821011982,28,27,0,0,1,0,0
1982 Spr,China,"USA, India",Lou Whittaker,N Face (Great Couloir),Accident,,1,EVER-821-02,1982,EVER821021982,16,16,1,0,0,#DIV/0!,0.0625
1982 Spr,China,UK,Chris Bonington,NE Ridge,Accident,,2,EVER-821-03,1982,EVER821031982,6,6,2,0,0,#DIV/0!,0.333333333
1982 Aut,Nepal,Spain,Lluis Belvis Del Rio,Lho La-W Ridge,Accident,,2,EVER-823-01,1982,EVER823011982,21,17,0,2,4,0.5,0
1982 Aut,Nepal,"Canada, UK, W Germany",William (Bill) March,S Col-SE Ridge,Success,6,4,EVER-823-02,1982,EVER823021982,29,22,1,3,7,0.428571429,0.045454545
1982 Aut,China,Netherlands,Alexander Verrijn Stuart,N Col-NE Ridge,Bad Weather,,,EVER-823-03,1982,EVER823031982,17,17,0,0,0,#DIV/0!,0
1982 Win,Nepal,"France, Belgium, Italy, Switzerland",Michel Metzger,SW Face (to 6500m) / W Ridge from S (not attempted) / N Col-NE Ridge from Lho La (to 7600m) (illegal),Bad Weather,,,EVER-824-01,1982,EVER824011982,12,11,0,0,1,0,0
1982 Win,Nepal,Japan,Yasuo Kato,S Col-SE Ridge,Success,1,2,EVER-824-02,1982,EVER824021982,9,7,2,0,2,0,0.285714286
1983 Spr,China,Chile,Gaston Oyarzun,NE Ridge,Bad Weather,,,EVER-831-01,1983,EVER831011983,12,12,0,0,0,#DIV/0!,0
1983 Spr,Nepal,"USA, Nepal, W Germany",Gerhard Lenser,S Col-SE Ridge,Success,8,,EVER-831-02,1983,EVER831021983,23,16,0,0,7,0,0
1983 Spr,China,USA,Robert Craig,W Ridge direct from N (to 7925m) / W Ridge (Hornbein Couloir) from N (to 8000m),"Illness, AMS",,,EVER-831-03,1983,EVER831031983,17,17,0,0,0,#DIV/0!,0
1983 Aut,China,"Switzerland, Italy",Romolo Nottaris,N Face (Great Couloir),Bad Conditions,,,EVER-833-01,1983,EVER833011983,12,12,0,0,0,#DIV/0!,0
1983 Aut,China,Spain,Conrad Blanch,N Col-NE Ridge,Bad Weather,,,EVER-833-02,1983,EVER833021983,12,12,0,0,0,#DIV/0!,0
1983 Aut,Nepal,"USA, UK",James Sano,Lho La-W Ridge,Bad Weather,,,EVER-833-03,1983,EVER833031983,21,19,0,0,2,0,0
1983 Aut,China,"USA, Canada",James Morrissey,E Face,Success,6,,EVER-833-04,1983,EVER833041983,17,17,0,0,0,#DIV/0!,0
1983 Aut,Nepal,Japan,Haruichi Kawamura,S Pillar-SE Ridge,Success,2,1,EVER-833-05,1983,EVER833051983,7,5,0,1,2,0.5,0
1983 Aut,Nepal,Japan,Hiroshi Yoshino,S Col-SE Ridge,Success,3,2,EVER-833-06,1983,EVER833061983,6,5,2,0,1,0,0.4
1983 Aut,China,"France, Switzerland, USA","Yannick Seigneur, Patrick Barthe",W Ridge from N,Bad Weather,,,EVER-833-07,1983,EVER833071983,12,12,0,0,0,#DIV/0!,0
1983 Win,Nepal,Japan,Kazuyuki Takahashi,S Col-SE Ridge,Success,4,,EVER-834-01,1983,EVER834011983,11,10,0,0,1,0,0
1983 Win,China,Japan,Michiko Takahashi,N Face (Hornbein Couloir),Bad Weather,,,EVER-834-02,1983,EVER834021983,2,18,0,0,-16,0,0
1984 Spr,China,"USA, UK",Thomas Fitzsimmons,N Col-NE Ridge,Bad Weather,,,EVER-841-01,1984,EVER841011984,19,19,0,0,0,#DIV/0!,0
1984 Spr,Nepal,India,Darshan Kumar Khullar,S Col-SE Ridge,Success,5,2,EVER-841-02,1984,EVER841021984,31,24,0,2,7,0.285714286,0
1984 Spr,Nepal,Bulgaria,Avram Iliev Avramov,Lho La-W Ridge / Lho La-W Ridge (up); SE Ridge-S Col (down),Success,5,1,EVER-841-03,1984,EVER841031984,25,24,1,0,1,0,0.041666667
1984 Spr,China,UK,"Bronco Lane, Brummie Stokes",N Face (Hornbein Couloir),Accident,,1,EVER-841-04,1984,EVER841041984,11,14,1,0,-3,0,0.071428571
1984 Spr,China,"UK, USA",Pat Gunson,N Face (left of Great Couloir),"Illness, AMS",,,EVER-841-05,1984,EVER841051984,9,9,0,0,0,#DIV/0!,0
1984 Aut,China,"Australia, UK, USA",Geoffrey Bartram,N Face (Great Couloir),Success,2,,EVER-843-01,1984,EVER843011984,9,9,0,0,0,#DIV/0!,0
1984 Aut,Nepal,"Nepal, USA",Yogendra Thapa,S Col-SE Ridge,Accident,,2,EVER-843-02,1984,EVER843021984,29,27,1,1,2,0.5,0.037037037
1984 Aut,China,USA,Lou Whittaker,N Col-N Face (Great Couloir),Success,1,,EVER-843-03,1984,EVER843031984,12,12,0,0,0,#DIV/0!,0
1984 Aut,Nepal,"New Zealand, Australia",Peter Hillary,W Cwm-W Ridge,Accident,,2,EVER-843-04,1984,EVER843041984,6,6,2,0,0,#DIV/0!,0.333333333
1984 Aut,Nepal,Netherlands,Herman Plugge,S Col-SE Ridge,Success (Claimed),,,EVER-843-05,1984,EVER843051984,11,8,0,0,3,0,0
1984 Aut,Nepal,Czechoslovakia,Frantisek Kele,S Pillar-SE Ridge (up); SE Ridge-S Col (down),Success,3,1,EVER-843-06,1984,EVER843061984,22,21,1,0,1,0,0.047619048
1984 Win,Nepal,S Korea,Oh In-Hwan,S Col-SE Ridge,Lack of Time,,,EVER-844-01,1984,EVER844011984,13,13,0,0,0,#DIV/0!,0
1984 Win,Nepal,"France, Belgium, Italy",Eric Dossin,Lho La-W Ridge (not to Hornbein Couloir),Bad Weather,,,EVER-844-02,1984,EVER844021984,17,16,0,0,1,0,0
1985 Spr,Nepal,"USA, UK",David Saas,Lho La-W Ridge,Route Difficulty,,,EVER-851-01,1985,EVER851011985,24,21,0,0,3,0,0
1985 Spr,Nepal,"Norway, Sweden, UK, USA",Arne Naess,S Col-SE Ridge,Success,17,,EVER-851-02,1985,EVER851021985,22,14,0,0,8,0,0
1985 Spr,China,"UK, Austria, Switzerland",Malcolm Duff,NE Ridge (UK 1982 Spring rte),"Illness, AMS",,,EVER-851-03,1985,EVER851031985,19,19,0,0,0,#DIV/0!,0
1985 Spr,China,Spain,Mari Abrego Santesteban,N Col-NE Ridge,Accident,,1,EVER-851-04,1985,EVER851041985,4,4,1,0,0,#DIV/0!,0.25
1985 Sum,China,Spain,Conrad Blanch,N Col-NE Ridge,Success,6,,EVER-852-01,1985,EVER852011985,17,14,0,0,3,0,0
1985 Sum,China,France,Pierre Beghin,N Face (Great Couloir) / N Col,Bad Conditions,,,EVER-852-02,1985,EVER852021985,2,2,0,0,0,#DIV/0!,0
1985 Aut,China,"New Zealand, Australia, UK",Austin Brookes,W Ridge-N Arete-N Face (to 7420m) / N Face (left of Great Couloir) (to 7315m) / N Face-N Ridge (to 7315m),Bad Weather,,,EVER-853-01,1985,EVER853011985,14,14,0,0,0,#DIV/0!,0
1985 Aut,China,Japan,Tsuneo Hasegawa,N Col-NE Ridge / N Face,Accident,,1,EVER-853-02,1985,EVER853021985,10,10,1,0,0,#DIV/0!,0.1
1985 Aut,Nepal,"India, Nepal","Prem Chand, Jagjit Singh",S Col-SE Ridge (to 8725m) / SW Face (to 7775m),Route Difficulty,,5,EVER-853-03,1985,EVER853031985,44,42,5,0,2,0,0.119047619
1985 Aut,Nepal,Japan,Kuniaki Yagihara,S Col-SE Ridge,Success,7,,EVER-853-04,1985,EVER853041985,14,12,0,0,2,0,0
1985 Win,China,Japan,Michiko Takahashi,N Face (Hornbein Couloir),Bad Weather,,,EVER-854-01,1985,EVER854011985,10,9,0,0,1,0,0
1985 Win,Nepal,S Korea,Kim Ki-Heyg,Lho La-W Ridge,Bad Weather,,,EVER-854-02,1985,EVER854021985,18,16,0,0,2,0,0
1985 Win,Nepal,S Korea,Nam Sang-Tae,S Col-SE Ridge,Bad Weather,,,EVER-854-03,1985,EVER854031985,12,11,0,0,1,0,0
1985 Win,Nepal,S Korea,Park Young-Bae,SW Face (Bonington rte),Lack of Supplies,,,EVER-854-04,1985,EVER854041985,11,9,0,0,2,0,0
1986 Spr,China,USA,Joe Murphy,N Face (Great Couloir),Bad Weather,,,EVER-861-01,1986,EVER861011986,11,11,0,0,0,#DIV/0!,0
1986 Spr,China,Canada,Jim Elzinga,W Ridge-N Face (Hornbein Couloir),Success,2,,EVER-861-02,1986,EVER861021986,13,13,0,0,0,#DIV/0!,0
1986 Spr,China,Spain,Jeronimo Lopez,N Col-NE Ridge,Bad Weather,,,EVER-861-03,1986,EVER861031986,7,9,0,0,-2,0,0
1986 Spr,Nepal,Japan,Haruyuki Endo,S Col-SE Ridge,Bad Weather,,,EVER-861-04,1986,EVER861041986,6,5,0,0,1,0,0
1986 Spr,Nepal,"Poland, Austria",Tadeusz Karolczak,Lho La-W Ridge (to 7200m) / Geneva Spur-SE Ridge (to 7800m),Lack of Time,,,EVER-861-05,1986,EVER861051986,3,3,0,0,0,#DIV/0!,0
1986 Sum,China,"Canada, USA",Roger Marshall,N Col (to 7000m) / N Face (Japanese Couloir) (to 7710m),Bad Conditions,,,EVER-862-01,1986,EVER862011986,4,4,0,0,0,#DIV/0!,0
1986 Sum,China,"Switzerland, France",Erhard Loretan,N Face (Japanese & Hornbein Couloirs),Success,2,,EVER-862-02,1986,EVER862021986,6,6,0,0,0,#DIV/0!,0
1986 Sum,China,Chile,Claudio Lucero,N Col-NE Ridge,Accident,,1,EVER-862-03,1986,EVER862031986,9,9,1,0,0,#DIV/0!,0.111111111
1986 Aut,China,"UK, New Zealand",John (Brummie) Stokes,NE Ridge,Bad Conditions,,,EVER-863-01,1986,EVER863011986,23,23,0,0,0,#DIV/0!,0
1986 Aut,Nepal,"Switzerland, Argentina, Denmark, France, Netherlands, UK, W Germany",Fredy Graf,S Col-SE Ridge,Lack of Time,,2,EVER-863-02,1986,EVER863021986,27,25,1,1,2,0.5,0.04
1986 Aut,China,"USA, Canada, UK",Andrew Harvard,N Col-NE Ridge,Bad Weather,,1,EVER-863-03,1986,EVER863031986,22,20,0,1,2,0.5,0
1986 Aut,China,USA,Steve McKinney,W Ridge from N (7170m) / N Face,Bad Weather,,,EVER-863-04,1986,EVER863041986,11,11,0,0,0,#DIV/0!,0
1986 Aut,Nepal,France,Eric Escoffier,S Col-SE Ridge,Bad Weather,,,EVER-863-05,1986,EVER863051986,4,4,0,0,0,#DIV/0!,0
1986 Win,Nepal,S Korea,Oh In-Hwan,S Col-SE Ridge,Bad Weather,,,EVER-864-01,1986,EVER864011986,9,6,0,0,3,0,0
1986 Win,Nepal,S Korea,Park Young-Bae,SW Face (Bonington rte),Accident,,1,EVER-864-02,1986,EVER864021986,7,5,0,1,2,0.5,0
1987 Spr,China,Sweden,Ebbe Whalund,N Col-N Face (Great Couloir)-W Ridge,Bad Weather,,,EVER-871-01,1987,EVER871011987,30,28,0,0,2,0,0
1987 Spr,China,USA,Jack Allsup,N Face (Great Couloir)-W Ridge,Route Difficulty,,,EVER-871-02,1987,EVER871021987,16,14,0,0,2,0,0
1987 Spr,Nepal,Czechoslovakia,Ivan Galfy,SW Face (Bonington 1972 rte) (to 8250m) / SW Face (Bonington 1975 rte) (to 7900m) / S Pillar-S Col (to 7900m),Bad Weather,,,EVER-871-03,1987,EVER871031987,23,23,0,0,0,#DIV/0!,0
1987 Spr,Nepal,"Spain, Italy",Juan Jose San Sebastian,S Pillar (Polish route to C1),Bad Weather,,,EVER-871-04,1987,EVER871041987,15,15,0,0,0,#DIV/0!,0
1987 Spr,China,Spain,Mari Abrego Santesteban,N Col-N Face (Great Couloir),Bad Conditions,,,EVER-871-05,1987,EVER871051987,2,2,0,0,0,#DIV/0!,0
1987 Spr,China,"Canada, USA",Roger Marshall,N Face (Japanese & Hornbein Couloirs),"Illness, AMS",,1,EVER-871-06,1987,EVER871061987,2,2,1,0,0,#DIV/0!,0.5
1987 Sum,China,"Spain, France",Antonio Ramos Villar,N Face (Hornbein Couloir),Bad Conditions,,,EVER-872-01,1987,EVER872011987,10,10,0,0,0,#DIV/0!,0
1987 Sum,China,W Germany/Iran,Mischa Saleki,N Col,Other,,,EVER-872-02,1987,EVER872021987,1,1,0,0,0,#DIV/0!,0
1987 Aut,China,Japan,Takashi Kawakami,W Ridge from N,Bad Weather,,1,EVER-873-01,1987,EVER873011987,30,29,1,0,1,0,0.034482759
1987 Aut,China,USA,Scott Fischer,N Face (Great Couloir),Bad Weather,,,EVER-873-02,1987,EVER873021987,15,15,0,0,0,#DIV/0!,0
1987 Aut,China,"USA, Canada",Steve Van Meter,N Col-NE Ridge,Bad Weather,,,EVER-873-03,1987,EVER873031987,13,12,0,0,1,0,0
1987 Aut,Nepal,"New Zealand, Australia",Peter Hillary,S Pillar (USA 1981 rte),Bad Weather,,,EVER-873-04,1987,EVER873041987,4,4,0,0,0,#DIV/0!,0
1987 Aut,Nepal,"Austria, France, Italy, USA, W Germany",Hanns Schell,S Col-SE Ridge,Bad Weather,,,EVER-873-05,1987,EVER873051987,15,15,0,0,0,#DIV/0!,0
1987 Aut,China,"UK, Austria, India, USA","Doug Scott, Rick Allen",NE Ridge,Bad Weather,,1,EVER-873-06,1987,EVER873061987,10,9,0,1,1,1,0
1987 Aut,Nepal,USA,"Peter Athans, Karen Fellerhoff",S Col-SE Ridge,Bad Weather,,,EVER-873-07,1987,EVER873071987,14,13,0,0,1,0,0
1987 Win,China,Japan,Tsuneo Hasegawa,NE Ridge-N Face,Bad Conditions,,,EVER-874-01,1987,EVER874011987,4,4,0,0,0,#DIV/0!,0
1987 Win,Nepal,S Korea,Hahm Tak-Young,S Col-SE Ridge,Success,2,,EVER-874-02,1987,EVER874021987,10,9,0,0,1,0,0
1988 Spr,China,"China, Japan, Nepal","Shi Zhang-Chun, Toshio Imanishi, Kumar Khadga Bikram Shah","N Col-NE Ridge (up), SE Ridge-S Col (down) / N Col-NE Ridge / S Col-SE Ridge (up), NE Ridge-N Col (down) / S Col-SE Ridge",Success,14,1,EVER-881-01,1988,EVER881011988,99,99,1,0,0,#DIV/0!,0.01010101
1988 Spr,China,UK,Douglas Keelan,W Ridge from N,Bad Weather,,,EVER-881-02,1988,EVER881021988,42,41,0,0,1,0,0
1988 Spr,China,"USA, Canada, UK",Robert Anderson,Eastern most buttress of E Face,Success,1,,EVER-881-03,1988,EVER881031988,6,6,0,0,0,#DIV/0!,0
1988 Spr,Nepal,"Australia, New Zealand",Austin Brookes,S Col-SE Ridge,Success,3,,EVER-881-04,1988,EVER881041988,26,25,0,0,1,0,0
1988 Sum,China,"UK, New Zealand, USA",Brummie Strokes,NE Ridge,Bad Conditions,,,EVER-882-01,1988,EVER882011988,19,19,0,0,0,#DIV/0!,0
